Aqsid Poc,Chart Name,DV Valid,DV Year,Latitude1,Longitude1,Pollutant and Averaging Time,Standards Unit,Validity Notes,Primary Standard,Secondary Standard,Max. DV
27-053-0963,Minneapolis (0963),Yes,2016,44.95366,-93.25821,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-0963,Minneapolis (0963),Yes,2017,44.95366,-93.25821,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-0963,Minneapolis (0963),Yes,2018,44.95366,-93.25821,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-0963,Minneapolis (0963),Yes,2021,44.95366,-93.25821,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-0966,Minneapolis (0966),Yes,2016,44.97944,-93.26613,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-0966,Minneapolis (0966),Yes,2017,44.97944,-93.26613,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-0966,Minneapolis (0966),Yes,2018,44.97944,-93.26613,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-0966,Minneapolis (0966-1),Yes,2021,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2005,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2006,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2007,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2008,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2009,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2010,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2016,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2017,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2018,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2019,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-0966-1,Minneapolis (0966-1),Yes,2020,44.97944,-93.26613,PM10: daily,estimated exceedance days,,1,1,0
27-053-1007,Minneapolis (1007),Yes,2016,45.03972,-93.29874,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-1007,Minneapolis (1007),Yes,2017,45.03972,-93.29874,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-1007,Minneapolis (1007),Yes,2018,45.03972,-93.29874,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-1007,Minneapolis (1007),Yes,2021,45.03972,-93.29874,Lead: 3-month,ug/m3,,0.15,0.15,0
27-053-1007-1,Minneapolis (1007-1),Yes,2004,45.03972,-93.29874,PM10: daily,estimated exceedance days,,1,1,0
27-053-1007-1,Minneapolis (1007-1),Yes,2005,45.03972,-93.29874,PM10: daily,estimated exceedance days,,1,1,0
27-053-1007-1,Minneapolis (1007-1),Yes,2006,45.03972,-93.29874,PM10: daily,estimated exceedance days,,1,1,0
27-053-1007-1,Minneapolis (1007-1),Yes,2007,45.03972,-93.29874,PM10: daily,estimated exceedance days,,1,1,0
27-053-1007-1,Minneapolis (1007-1),Yes,2008,45.03972,-93.29874,PM10: daily,estimated exceedance days,,1,1,0
27-053-1007-1,Minneapolis (1007-1),Yes,2009,45.03972,-93.29874,PM10: daily,estimated exceedance days,,1,1,0
27-053-1909,Minneapolis (1909-3),Yes,2021,45.013611,-93.272049,PM10: daily,estimated exceedance days,,1,1,0
27-053-1909,Minneapolis (1909-3),Yes,2022,45.013611,-93.272049,PM10: daily,estimated exceedance days,,1,1,0
27-053-2006-1,St. Louis Park (2006-1),Yes,2004,44.94805,-93.34315,PM10: daily,estimated exceedance days,,1,1,0
27-053-2006-1,St. Louis Park (2006-1),Yes,2005,44.94805,-93.34315,PM10: daily,estimated exceedance days,,1,1,0
27-053-2006-1,St. Louis Park (2006-1),Yes,2006,44.94805,-93.34315,PM10: daily,estimated exceedance days,,1,1,0
27-075-0005,Boundary Waters (0005),Yes,2012,47.948622,-91.495574,Nitrogen dioxide: annual,PPB,,53,53,0
27-123-0021-1,St. Paul (0021-1),Yes,2002,44.96555,-93.05684,PM10: daily,estimated exceedance days,,1,1,0
27-123-0021-1,St. Paul (0021-1),Yes,2003,44.96555,-93.05684,PM10: daily,estimated exceedance days,,1,1,0
27-123-0021-1,St. Paul (0021-1),Yes,2004,44.96555,-93.05684,PM10: daily,estimated exceedance days,,1,1,0
27-123-0021-1,St. Paul (0021-1),Yes,2005,44.96555,-93.05684,PM10: daily,estimated exceedance days,,1,1,0
27-123-0021-1,St. Paul (0021-1),Yes,2006,44.96555,-93.05684,PM10: daily,estimated exceedance days,,1,1,0
27-123-0021-1,St. Paul (0021-1),Yes,2007,44.96555,-93.05684,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866,St. Paul (0866-1),Yes,2021,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866,St. Paul (0866-1),Yes,2022,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866,St. Paul (0866-2),Yes,2021,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866,St. Paul (0866-2),Yes,2022,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2002,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2003,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2004,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2005,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2006,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2007,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2011,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2016,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2017,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2018,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2019,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-1,St. Paul (0866-1),Yes,2020,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2002,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2003,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2007,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2008,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2009,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2010,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2011,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2016,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2017,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2018,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2019,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0866-2,St. Paul (0866-2),Yes,2020,44.89926,-93.01708,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868,St. Paul (0868-3),Yes,2021,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868,St. Paul (0868-3),Yes,2022,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868-1,St. Paul (0868-1),Yes,2002,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868-1,St. Paul (0868-1),Yes,2003,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868-1,St. Paul (0868-1),Yes,2004,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868-3,St. Paul (0868-3),Yes,2014,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868-3,St. Paul (0868-3),Yes,2015,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868-3,St. Paul (0868-3),Yes,2016,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868-3,St. Paul (0868-3),Yes,2017,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868-3,St. Paul (0868-3),Yes,2018,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868-3,St. Paul (0868-3),Yes,2019,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0868-3,St. Paul (0868-3),Yes,2020,44.95072,-93.09827,PM10: daily,estimated exceedance days,,1,1,0
27-123-0871,St. Paul (0871),Yes,2021,44.95939,-93.03587,Lead: 3-month,ug/m3,,0.15,0.15,0
27-123-0871,St. Paul (0871),Yes,2022,44.95939,-93.03587,Lead: 3-month,ug/m3,,0.15,0.15,0
27-123-0871,St. Paul (0871),Yes,2023,44.95939,-93.03587,Lead: 3-month,ug/m3,,0.15,0.15,0
27-123-1003-1,St. Paul (1003-1),Yes,2004,44.96133,-93.19019,PM10: daily,estimated exceedance days,,1,1,0
27-123-1003-1,St. Paul (1003-1),Yes,2005,44.96133,-93.19019,PM10: daily,estimated exceedance days,,1,1,0
27-123-1003-1,St. Paul (1003-1),Yes,2006,44.96133,-93.19019,PM10: daily,estimated exceedance days,,1,1,0
27-123-1003-1,St. Paul (1003-1),Yes,2007,44.96133,-93.19019,PM10: daily,estimated exceedance days,,1,1,0
27-123-1003-1,St. Paul (1003-1),Yes,2008,44.96133,-93.19019,PM10: daily,estimated exceedance days,,1,1,0
27-123-1003-1,St. Paul (1003-1),Yes,2009,44.96133,-93.19019,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032,Duluth (0032-1),Yes,2021,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032,Duluth (0032-1),Yes,2022,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032,Duluth (0032-2),Yes,2021,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032,Duluth (0032-2),Yes,2022,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2002,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2003,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2004,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2005,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2006,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2007,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2008,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2009,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2010,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2011,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2012,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2013,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2014,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2015,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2016,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-1,Duluth (0032-1),Yes,2020,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2002,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2003,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2004,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2005,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2006,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2007,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2008,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2009,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2010,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2014,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2015,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2016,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2017,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2018,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2019,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-0032-2,Duluth (0032-2),Yes,2020,46.75154,-92.14127,PM10: daily,estimated exceedance days,,1,1,0
27-137-7001,Virginia (7001),Yes,2008,47.523355,-92.536305,Lead: 3-month,ug/m3,,0.15,0.15,0
27-137-7001,Virginia (7001),Yes,2009,47.523355,-92.536305,Lead: 3-month,ug/m3,,0.15,0.15,0
27-137-7001,Virginia (7001),Yes,2010,47.523355,-92.536305,Lead: 3-month,ug/m3,,0.15,0.15,0
27-137-7001,Virginia (7001),Yes,2017,47.523355,-92.536305,Lead: 3-month,ug/m3,,0.15,0.15,0
27-137-7001,Virginia (7001),Yes,2018,47.523355,-92.536305,Lead: 3-month,ug/m3,,0.15,0.15,0
27-137-7001,Virginia (7001),Yes,2023,47.523355,-92.536305,Lead: 3-month,ug/m3,,0.15,0.15,0
27-137-7001,Virginia (7001-1),Yes,2021,47.523355,-92.536305,PM10: daily,estimated exceedance days,,1,1,0
27-137-7001-1,Virginia (7001-1),Yes,2006,47.523355,-92.536305,PM10: daily,estimated exceedance days,,1,1,0
27-137-7001-1,Virginia (7001-1),Yes,2007,47.523355,-92.536305,PM10: daily,estimated exceedance days,,1,1,0
27-137-7001-1,Virginia (7001-1),Yes,2008,47.523355,-92.536305,PM10: daily,estimated exceedance days,,1,1,0
27-137-7001-1,Virginia (7001-1),Yes,2009,47.523355,-92.536305,PM10: daily,estimated exceedance days,,1,1,0
27-137-7001-1,Virginia (7001-1),Yes,2010,47.523355,-92.536305,PM10: daily,estimated exceedance days,,1,1,0
27-137-7001-1,Virginia (7001-1),Yes,2011,47.523355,-92.536305,PM10: daily,estimated exceedance days,,1,1,0
27-137-7001-1,Virginia (7001-1),Yes,2012,47.523355,-92.536305,PM10: daily,estimated exceedance days,,1,1,0
27-137-7001-1,Virginia (7001-1),Yes,2013,47.523355,-92.536305,PM10: daily,estimated exceedance days,,1,1,0
27-137-7001-1,Virginia (7001-1),Yes,2014,47.523355,-92.536305,PM10: daily,estimated exceedance days,,1,1,0
27-137-7549,Duluth (7549),Yes,2018,46.77107,-92.11732,Lead: 3-month,ug/m3,,0.15,0.15,0
27-137-7555,Duluth (7555),Yes,2010,46.72938,-92.15998,Lead: 3-month,ug/m3,,0.15,0.15,0
27-137-7555,Duluth (7555),Yes,2016,46.72938,-92.15998,Lead: 3-month,ug/m3,,0.15,0.15,0
27-137-7555,Duluth (7555),Yes,2017,46.72938,-92.15998,Lead: 3-month,ug/m3,,0.15,0.15,0
27-137-7555,Duluth (7555),Yes,2021,46.72938,-92.15998,Lead: 3-month,ug/m3,,0.15,0.15,0
27-163-0438,Newport (0438),Yes,2017,44.85711,-93.00352,Lead: 3-month,ug/m3,,0.15,0.15,0
27-163-0438,Newport (0438),Yes,2018,44.85711,-93.00352,Lead: 3-month,ug/m3,,0.15,0.15,0
27-163-0438,Newport (0438),Yes,2021,44.85711,-93.00352,Lead: 3-month,ug/m3,,0.15,0.15,0
27-163-0438,Newport (0438),Yes,2022,44.85711,-93.00352,Lead: 3-month,ug/m3,,0.15,0.15,0
27-163-0446,Bayport (0446),Yes,2010,45.02798,-92.77415,Lead: 3-month,ug/m3,,0.15,0.15,0
27-163-0446,Bayport (0446),Yes,2016,45.02798,-92.77415,Lead: 3-month,ug/m3,,0.15,0.15,0
27-163-0446,Bayport (0446),Yes,2017,45.02798,-92.77415,Lead: 3-month,ug/m3,,0.15,0.15,0
27-163-0446,Bayport (0446),Yes,2018,45.02798,-92.77415,Lead: 3-month,ug/m3,,0.15,0.15,0
27-163-0446,Bayport (0446),Yes,2023,45.02798,-92.77415,Lead: 3-month,ug/m3,,0.15,0.15,0
27-003-1002,Blaine (1002),Yes,2020,45.13767954,-93.20761498,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-003-1002,Blaine (1002),Yes,2021,45.13767954,-93.20761498,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-003-1002,Blaine (1002),Yes,2022,45.13767954,-93.20761498,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-037-0020,FHR- Rosemount (0020),Yes,2014,44.76323,-93.03255,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-037-0020,FHR- Rosemount (0020),Yes,2015,44.76323,-93.03255,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-037-0020,FHR- Rosemount (0020),Yes,2016,44.76323,-93.03255,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-037-0020,FHR- Rosemount (0020),Yes,2017,44.76323,-93.03255,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-037-0020,FHR- Rosemount (0020),Yes,2018,44.76323,-93.03255,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-037-0020,FHR- Rosemount (0020),Yes,2019,44.76323,-93.03255,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-037-0020,FHR- Rosemount (0020),Yes,2020,44.76323,-93.03255,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-037-0423,FHR- Inver Grove Heights (0423),Yes,2006,44.77553,-93.06299,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-037-0442,Rosemount (0442),Yes,2006,44.73857,-93.00496,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-0050,Minneapolis (0050),Yes,2006,45.001229,-93.267117,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-0962,Minneapolis (0962),Yes,2016,44.965242,-93.254759,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-0963,Minneapolis (0963),Yes,2006,44.95366,-93.25821,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-0963,Minneapolis (0963),Yes,2010,44.95366,-93.25821,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-0963,Minneapolis (0963),Yes,2022,44.95366,-93.25821,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-0966,Minneapolis (0966),Yes,2005,44.97944,-93.26613,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-1007,Minneapolis (1007),Yes,2006,45.03972,-93.29874,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-1007,Minneapolis (1007),Yes,2022,45.03972,-93.29874,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-1007,Minneapolis (1007),Yes,2023,45.03972,-93.29874,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-1909,Minneapolis (1909),Yes,2021,45.013611,-93.272049,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-1909,Minneapolis (1909),Yes,2022,45.013611,-93.272049,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-053-1909,Minneapolis (1909),Yes,2023,45.013611,-93.272049,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-123-0871,St. Paul (0871),Yes,2016,44.95939,-93.03587,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-123-0871,St. Paul (0871),Yes,2017,44.95939,-93.03587,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-123-0871,St. Paul (0871),Yes,2018,44.95939,-93.03587,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-137-7549,Duluth (7549),Yes,2021,46.77107,-92.11732,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-137-7555,Duluth (7555),Yes,2018,46.72938,-92.15998,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-137-7555,Duluth (7555),Yes,2022,46.72938,-92.15998,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-137-7555,Duluth (7555),Yes,2023,46.72938,-92.15998,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-163-0438,Newport (0438),Yes,2016,44.85711,-93.00352,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-163-0446,Bayport (0446),Yes,2021,45.02798,-92.77415,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-163-0446,Bayport (0446),Yes,2022,45.02798,-92.77415,Lead: 3-month,ug/m3,,0.15,0.15,0.01
27-003-1002,Blaine (1002),Yes,2015,45.13767954,-93.20761498,Lead: 3-month,ug/m3,,0.15,0.15,0.02
27-003-1002,Blaine (1002),Yes,2016,45.13767954,-93.20761498,Lead: 3-month,ug/m3,,0.15,0.15,0.02
27-053-0910,Minneapolis (0910),Yes,2022,45.008297,-93.277041,Lead: 3-month,ug/m3,,0.15,0.15,0.02
27-053-0910,Minneapolis (0910),Yes,2023,45.008297,-93.277041,Lead: 3-month,ug/m3,,0.15,0.15,0.02
27-053-0962,Minneapolis (0962),Yes,2021,44.965242,-93.254759,Lead: 3-month,ug/m3,,0.15,0.15,0.02
27-053-0962,Minneapolis (0962),Yes,2022,44.965242,-93.254759,Lead: 3-month,ug/m3,,0.15,0.15,0.02
27-053-0962,Minneapolis (0962),Yes,2023,44.965242,-93.254759,Lead: 3-month,ug/m3,,0.15,0.15,0.02
27-053-0966,Minneapolis (0966),Yes,2010,44.97944,-93.26613,Lead: 3-month,ug/m3,,0.15,0.15,0.02
