"emissions_year","sector","value_emissions"
2036,"Natural Systems",-1736573.28
2036,"Transportation",15155515.58
2036,"Waste",1945500.87
2037,"Agriculture",995477.96
2037,"Building Fuel",14651629.7
2037,"Electricity",1638396.82
2037,"Industrial Processes",6054795.25
2037,"Natural Systems",-1736573.28
2037,"Transportation",14892366.84
2037,"Waste",1955971.63
2038,"Agriculture",992419.4
2038,"Building Fuel",14716961.76
2038,"Electricity",1273185.11
2038,"Industrial Processes",6042968.86
2038,"Natural Systems",-1736573.28
2038,"Transportation",14629218.1
2038,"Waste",1966442.38
2039,"Agriculture",989360.85
2039,"Building Fuel",14782293.82
2039,"Electricity",990251.74
2039,"Industrial Processes",6031142.48
2039,"Natural Systems",-1736573.28
2039,"Transportation",14366069.36
2039,"Waste",1976913.14
2040,"Agriculture",986302.29
2040,"Building Fuel",14847625.88
2040,"Electricity",477877.85
2040,"Industrial Processes",6019316.09
2040,"Natural Systems",-1736573.28
2040,"Transportation",14102920.62
2040,"Waste",1987383.89
2041,"Agriculture",983243.74
2041,"Building Fuel",14952488.08
2041,"Electricity",459069.47
2041,"Industrial Processes",5961930.25
2041,"Natural Systems",-1736573.28
2041,"Transportation",13839001.86
2041,"Waste",2001741.72
2042,"Agriculture",980185.18
2042,"Building Fuel",15057350.28
2042,"Electricity",368746.07
2042,"Industrial Processes",5904544.41
2042,"Natural Systems",-1736573.28
2042,"Transportation",13575083.11
2042,"Waste",2016099.55
2043,"Agriculture",977126.63
2043,"Building Fuel",15162212.47
2043,"Electricity",318899.48
2043,"Industrial Processes",5847158.57
2043,"Natural Systems",-1736573.28
2043,"Transportation",13311164.36
2043,"Waste",2030457.37
2044,"Agriculture",974068.07
2044,"Building Fuel",15267074.67
2044,"Electricity",271588.99
2044,"Industrial Processes",5789772.73
2044,"Natural Systems",-1736573.28
2044,"Transportation",13047245.6
2044,"Waste",2044815.2
2045,"Agriculture",971009.52
2045,"Building Fuel",15371936.87
2045,"Electricity",226693.91
2045,"Industrial Processes",5732386.89
2045,"Natural Systems",-1736573.28
2045,"Transportation",12783326.85
2045,"Waste",2059173.03
2046,"Agriculture",967950.96
2046,"Building Fuel",15476799.07
2046,"Electricity",185011.3
2046,"Industrial Processes",5681418.08
2046,"Natural Systems",-1736573.28
2046,"Transportation",12519569.28
2046,"Waste",2073530.85
2047,"Agriculture",964892.41
2047,"Building Fuel",15581661.27
2047,"Electricity",145760.51
2047,"Industrial Processes",5630449.28
2047,"Natural Systems",-1736573.28
2047,"Transportation",12255811.7
2047,"Waste",2087888.68
2048,"Agriculture",961833.85
2048,"Building Fuel",15686523.46
2048,"Electricity",108350.52
2048,"Industrial Processes",5579480.48
2048,"Natural Systems",-1736573.28
2048,"Transportation",11992054.12
2048,"Waste",2102246.51
2049,"Agriculture",958775.3
2049,"Building Fuel",15791385.66
2049,"Electricity",72333.94
2049,"Industrial Processes",5528511.67
2049,"Natural Systems",-1736573.28
2049,"Transportation",11728296.55
2049,"Waste",2116604.33
2050,"Agriculture",955716.74
2050,"Building Fuel",15896247.86
2050,"Electricity",37372.06
2050,"Industrial Processes",5477542.87
2050,"Natural Systems",-1736573.28
2050,"Transportation",11464538.97
2050,"Waste",2130962.16
