Emission Source,Emission Source Description,Voluntary,Regulatory,GHG,Origin,Emission Factor,Emission Factor Unit of Measure,Emission Factor Source,Activity Data,Activity Data Source
Stationary Fuel Oil Combustion,"Combustion of fuel oil in generators, boilers, incinerators, etc. leading to release of CO2, N2O and CH4.",Yes,Partial,CO2,Anthropogenic,70.10054443,g CO2 / MJ,"U.S. EPA Mandatory Reporting Rule CFR 40.98 Subpart C, Table C-1",Fuel Oil Energy Content,"Plant SCADA; Assumes Default Heat Content Of 145.6 Mj/Gln Based On 40 Cfr 98 Subpart C, Table C-1"
Stationary Fuel Oil Combustion,"Combustion of fuel oil in generators, boilers, incinerators, etc. leading to release of CO2, N2O and CH4.",Yes,Partial,N2O,Anthropogenic,0.00056869,g N2O / MJ,"U.S. EPA Mandatory Reporting Rule CFR 40.98 Subpart C, Table C-2",Fuel Oil Energy Content,"Plant SCADA; Assumes Default Heat Content Of 145.6 Mj/Gln Based On 40 Cfr 98 Subpart C, Table C-1"
Stationary Fuel Oil Combustion,"Combustion of fuel oil in generators, boilers, incinerators, etc. leading to release of CO2, N2O and CH4.",Yes,Partial,CH4,Anthropogenic,0.002843451,g CH4 / MJ,"U.S. EPA Mandatory Reporting Rule CFR 40.98 Subpart C, Table C-2",Fuel Oil Energy Content,"Plant SCADA; Assumes Default Heat Content Of 145.6 Mj/Gln Based On 40 Cfr 98 Subpart C, Table C-1"
Biosolids Incineration,"Combustion of biosolids leading to release of CO2, N2O and CH4.",Yes,Yes,CO2,Biogenic,994.5,g CO2 / kg cake,"U.S. EPA Mandatory Reporting Rule CFR 40.98 Subpart C, Table C-1",Mass Cake,Plant SCADA
Biosolids Incineration,"Combustion of biosolids leading to release of CO2, N2O and CH4.",Yes,Yes,N2O,Anthropogenic,0.039587739,g N2O / kg cake,"U.S. EPA Mandatory Reporting Rule CFR 40.98 Subpart C, Table C-2",Mass Cake,Plant SCADA
Biosolids Incineration,"Combustion of biosolids leading to release of CO2, N2O and CH4.",Yes,Yes,CH4,Anthropogenic,0.3016,g CH4 / kg cake,"U.S. EPA Mandatory Reporting Rule CFR 40.98 Subpart C, Table C-2",Mass Cake,Plant SCADA
Mobile Gasoline Combustion,"Combustion of gasoline for vehicle and equipment operation leading to release of CO2, N2O and CH4.",Yes,No,CO2,Anthropogenic,878,g CO2 / gallon,U.S. EPA Center for Corporate Climate Leadership GHG Emission Factors Hub,Fuel Volume,Fleet Report
Mobile Gasoline Combustion,"Combustion of gasoline for vehicle and equipment operation leading to release of CO2, N2O and CH4.",Yes,No,N2O,Anthropogenic,varies by vehicle class,g N2O / mile,U.S. EPA Center for Corporate Climate Leadership GHG Emission Factors Hub,VMT,Fleet Report
Mobile Gasoline Combustion,"Combustion of gasoline for vehicle and equipment operation leading to release of CO2, N2O and CH4.",Yes,No,CH4,Anthropogenic,varies by vehicle class,g CH4 / mile,U.S. EPA Center for Corporate Climate Leadership GHG Emission Factors Hub,VMT,Fleet Report
Mobile Diesel Fuel Combustion,"Combustion of diesel fuel  for vehicle and equipment operation leading to release of CO2, N2O and CH4.",Yes,No,CO2,Anthropogenic,11270,g CO2 / gallon,U.S. EPA Center for Corporate Climate Leadership GHG Emission Factors Hub,Fuel Volume,Fleet Report
Mobile Diesel Fuel Combustion,"Combustion of diesel fuel  for vehicle and equipment operation leading to release of CO2, N2O and CH4.",Yes,No,N2O,Anthropogenic,varies by vehicle class,g N2O / mile,U.S. EPA Center for Corporate Climate Leadership GHG Emission Factors Hub,VMT,Fleet Report
Mobile Diesel Fuel Combustion,"Combustion of diesel fuel  for vehicle and equipment operation leading to release of CO2, N2O and CH4.",Yes,No,CH4,Anthropogenic,varies by vehicle class,g CH4 / mile,U.S. EPA Center for Corporate Climate Leadership GHG Emission Factors Hub,VMT,Fleet Report
Purchased Electricity,Embodied emissions in purchased electricity,Yes,No,CO2,Anthropogenic,varies by emission year,g CO2 / MWh,U.S. EPA Center for Corporate Climate Leadership GHG Emission Factors Hub,Megawatt-Hours,Utility Bills
Purchased Electricity,Embodied emissions in purchased electricity,Yes,No,N2O,Anthropogenic,varies by emission year,g N2O / MWh,U.S. EPA Center for Corporate Climate Leadership GHG Emission Factors Hub,Megawatt-Hours,Utility Bills
Purchased Electricity,Embodied emissions in purchased electricity,Yes,No,CH4,Anthropogenic,varies by emission year,g CH4 / MWh,U.S. EPA Center for Corporate Climate Leadership GHG Emission Factors Hub,Megawatt-Hours,Utility Bills
